,question,answer,response,mapping
0,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?A)5(√3 + 1), B)6(√3 + √2), C)7(√3 – 1), D)8(√3 – 2), E)None of these",A, The answer is D.,
1,"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?A)$61, B)$65, C)$67.40, D)$70, E)$78.20",E, The original price of the item is $70. The answer is D.,
2,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?A)36, B)15, C)17, D)5, E)7",A, The answer is 36.,
3,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?A)0.22, B)0.26, C)0.37, D)0.46, E)0.63",B, The greatest value for the probability that neither of these two events will occur is 0.22.,
4,"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?A)270, B)300, C)280, D)320, E)315",B, The cost price of the article is Rs. 300.,
5,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?A)40, B)200, C)380, D)400, E)3200",D, The bag currently holds 400 marbles.,
6,"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?A)74453, B)64543, C)74325, D)65000, E)97656",D, The answer is D.,
7,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?A)10, B)11.5, C)12.5, D)13.5, E)15",C, The total journey duration would be 12.5 hours. The answer is c.,
8,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?A)27, B)81, C)90, D)99, E)110",E," If the number of students who attended the prom night is x, then the number of students who did not attend the prom night is 200-x. Similarly, if the number of students who took part in the debating session is y, then the number of students who did not take part in the debating session is 200-y. We are given that x ≥ 45 and y ≥ 35. We want to find the maximum value of 200-x-y, which is 200-(45)-(35), or 110. The answer is e.",
9,"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?A)15, B)24, C)25, D)40, E)52",D, The sales person needs to make at least 40 sales of $250 each in order to reach a salary of $1000. The answer is D.,
10,"A company produces 420 units of a particular computer component every month, at a production cost to the company of $110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $626,400 ?A)226, B)230, C)240, D)260, E)280",B," The minimum selling price per component that will guarantee that the yearly profit will be at least $626,400 is $226.",
11,"At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?A)4,000, B)4,200, C)4,500, D)4,800, E)5,000",A," The number of staplers produced that day would be 5,000.",
12,"Machine A puts out a yo-yo every 6 minutes. Machine B puts out a yo-yo every 9 minutes. After how many minutes will they have produced 10 yo-yos?A)24 minutes, B)32 minutes, C)36 minutes, D)64 minutes, E)72 minutes",C," The answer is c. Machine A produces a yo-yo every 6 minutes, so it will produce 10 yo-yos in 60 minutes. Machine B produces a yo-yo every 9 minutes, so it will produce 10 yo-yos in 90 minutes. 60 + 90 = 150. 150 / 3 = 50. So it will take 50 minutes for both machines to produce 10 yo-yos.",
13,"Add: +45 and -30A)-30, B)+30, C)0, D)15, E)-15",D, The answer is D)15.,
14,"In how many ways can the letters of the word ""PROBLEC"" be rearranged to make 7 letter words such that none of the letters repeat?A)2!, B)3!, C)7!, D)8!, E)9!",C, The answer is d.,
15,"Let A and B be independent events with P (A) = 0.2 and P(B) = 0.8. Find P(A/B)?A)0.2, B)0.4, C)0.6, D)1.2, E)1.5",A,"

P(A/B) = P(A and B)/P(B) = (0.2)(0.8)/(0.8) = 0.2",
16,"Consider there is an staircase elevator and you are coming down. If you walk 20 steps and stop, then you reach bottom in 10 minutes. If you walk 10 steps and stop, you reach to the ground in 20 minutes. What is the speed of the elevator?A)1 step/minute, B)2 step/minute, C)3 step/minute, D)4 step/minute, E)None of the above",A, The speed of the elevator is 2 steps/minute.,
17,"Last year, a Home Appliance Store sold an average(arithmetic mean) of 42 microwave ovens per month. In the first 10 months of this year,the store has sold an average(arithmetic mean) of only 20 microwave ovens per month. What was the average number of microwave ovens sold per month during the entire 22 months period ?A)21, B)30, C)31, D)32, E)None of the above",D, The average number of microwave ovens sold per month during the entire 22 months period would be 31. The answer is c.,
18,"An exam is given in a certain class. The average (arithmetic mean) of the highest score and the lowest score is equal to x. If the average score for the entire class is equal to y and there are z students in the class, where z > 5, then in terms of x, y, and z, what is the average score for the class excluding the highest and lowest scorers?A)(zy – 2x)/z, B)(zy – 2)/z, C)(zx – y)/(z – 2), D)(zy – 2x)/(z -2), E)(zy – x)/(z + 2)",D, The answer is C.,
19,"[5 + ? × 19 - 15 - 7]/[13 × 13 - 156] = 6A)4, B)4.5, C)5, D)5.5, E)6.5",C, The answer is D) 5.5,
20,"A grocer makes a 25% profit on the selling price for each bag of flour it sells. If he sells each bag for $100 and makes $3,000 in profit, how many bags did he sell?A)12, B)16, C)24, D)30, E)40",C, The grocer sold 12 bags of flour.,
21,"Alex and Jacob works at a toy shop that make toys. Alex takes 7 hours to make a toy, and Jacob takes 9 hours to make a toy. During a month, both of them makes 35 toys in total. If both of them have worked for almost similar number of hours how many toys have been prepared by Jacob?A)15, B)16, C)17, D)18, E)19",A," If both of them have worked for almost similar number of hours, then Alex and Jacob would have worked the same number of hours. So if Alex has worked 35 hours, then Jacob has also worked 35 hours. This means that Jacob has made 4 more toys than Alex. So the answer is D.",
22,"John likes to have lightly flavored tea every evening. In a 50% strong milk tea, he replaces 15% of it with milk twice. Then, he replaces 10 percent of the resultant solution with more milk.
What is the final concentration of tea John drinks?A)15.38%, B)42%, C)39.86%, D)22.35%, E)32.51%",E, The final concentration of tea John drinks is 32.51%.,
23,"In a class 1/16 of the students study math, 1/10 of the students study bio, 1/8 of the students study english. The total number of students is a 4 digit number. Find the diffrence between maximum number of students and minimum number of students.A)8880, B)8870, C)8890, D)7890, E)6780",A, The answer is C.,
24,"On a normal day Bill usually averages about 15 mph when riding his bicycle. On a windy day, his speed is reduced by 4 mph. How far can Bill travel on a windy day in 21 minutes? Round to the nearest hundredth.A)2 miles, B)2.25 miles, C)3.25 miles, D)3.85 miles, E)2.85 miles",D, The answer is B.,
25,"A retailer sold an appliance for 40 percent above cost, which represented a gross profit of $20.00. For what price did the retailer sell the appliance?A)$27.30, B)$51.00, C)$63.00, D)$70.00, E)$91.00",D, The answer is B.,
26,"At 6% per annum simple interest, Rahul borrowed Rs. 500. What amount will he pay to clear the debt after 4 yearsA)750, B)700, C)620, D)600, E)None of these",C," The amount borrowed is Rs. 500. The interest rate is 6% per annum, and the time period is 4 years.

The amount of interest Rahul will pay is:

Interest = Principal x Rate x Time

Interest = 500 x 0.06 x 4

Interest = Rs. 120

The total amount Rahul will pay is the sum of the principal and the interest.

Total amount = Principal + Interest

Total amount = 500 + 120

Total amount = Rs. 620

The answer is c.",
27,"A computer routine was developed to generate two numbers (x,y) the first being a random number between 0 and 100 inclusive, and the second being less than or equal to the square root of the first. Each of the following pair satisfies the routine exceptA)(99,10), B)(85,9), C)(50,7), D)(1,1), E)(1,0)",A, The correct answer is E.,
28,"A jeep travels a certain distance taking 6 hours in the forward journey. During the return journey, it increased its speed by 12km/hr and took 4 hours. What is the distance travelled by the jeep?A)126km, B)144km, C)127km, D)228km, E)128km",B, The jeep's average speed for the entire journey was (6+4)/2 = 5 hours. So the distance travelled was 5*(6+4) = 60+20 = 80 km. The answer is e.,
29,"When I was 2 years old, my brother was half my age. Now I am 60 years old, how old is my brother?A)A)59, B)B)69, C)C)79, D)D)89, E)E)99",A, C) 79,
30,"The original retail price of an appliance was 60 percent more than its wholesale cost. If the appliance was actually sold for 20 percent less than the original retail price, then it was sold for what percent more than its wholesale cost?A)20%, B)28%, C)36%, D)40%, E)42%",B," The original retail price was 1.6 times the wholesale cost. If it was sold for 20% less, then it was sold for 1.28 times the wholesale cost. 1.28 is 28% more than the wholesale cost, so the answer is B.",
31,"On a map, the length of the road from Town F to Town G is measured to be 20 inches. On this map, 1/4 inch represents an actual distance of 10 miles. What is the actual distance, in miles, from Town F to Town G along this road?A)800, B)720, C)960, D)1140, E)1160",A, The actual distance from Town F to Town G is 800 miles.,
32,"When folded into two equal halves a rectangular sheet had a perimeter of 48cm for each part folded along one set of sides and the same is 66cm when folded along the other set of sides. Find the area of the sheet.A)1584, B)1120, C)792, D)1320, E)1200",B," The perimeter of the sheet when folded in half along one set of sides is 48 cm, and when folded in half along the other set of sides is 66 cm. This means that the sheet has a perimeter of 114 cm when it is unfolded. The area of the sheet is then 114 cm * 66 cm, or 7584 cm^2. The answer is c.",
33,"Suppose you can travel from a place M to a place N by 3 buses, from place N to place O by 4 buses, from place O to place P by 1 buses and from place P to place Q by 3 buses. In how many ways can you travel from M to Q ?A)24, B)36, C)72, D)84, E)None",B, The answer is D) 84.,
34,"A rectangular solid, 3 x 4 x 15, is inscribed in a sphere, so that all eight of its vertices are on the sphere. What is the diameter of the sphere?A) 13.3542, B) 15.8113, C) 18.3451, D) 19.5667, E) 20.8888",B, The diameter of the sphere is 20.8888.,
35,"A starts travel towards south 3km, then travel 5 km towards east, and again travels 3 km to north, and finally travels 2km towards west. In the end how far from is A from home?A)3km, B)2km, C)4km, D)5km, E)6km",A, The answer is B.,
36,"While selling a watch, a shopkeeper gives a discount of 5%. If he gives a discount of 7%, he earns Rs. 15 less as profit. The marked price of the watch is:A)Rs. 697.50, B)Rs. 712.50, C)Rs. 787.50, D)Rs. 750, E)Rs. 780",D," If the shopkeeper gives a discount of 7%, he earns Rs. 15 less as profit.

7% of the marked price = Rs. 15

1% of the marked price = Rs. 15/7

100% of the marked price = Rs. 15/7 x 100

= Rs. 2142.86

Therefore, the marked price of the watch is Rs. 2142.86.

The answer is c.",
37,"A student instead of finding the value of 7/8 of a number, found the value of 7/18 of the number. If his answer differed from the actual one by 770, find the that number.A)1584, B)2520, C)1728, D)1656, E)None",A, The answer is C.,
38,"The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. What should the monthly sales be so that her monthly salary reaches $1500?A)$50000, B)$40000, C)$30000, D)$20000, E)None of these",D," The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. What should the monthly sales be so that her monthly salary reaches $1500?

A)$50000, B)$40000, C)$30000, D)$20000, E)None of these

The answer is D.",
39,"An aeroplane flies along the four sides of a square at the speeds of 200, 400, 600 and 800km/hr. Find the average speed of the plane around the field?A)384, B)562, C)458, D)156, E)452",A, The average speed of the plane is 384 km/hr.,
40,"Jack buys 18 sharpeners (white and brown) for rs. 100. If he pays 1 rupee more for each white than brown sharpeners. How many of white and how many brown sharpeners did he buy?A)10,8, B)9,8, C)7,8, D)5,6, E)11,12",A," If Jack buys 18 sharpeners for Rs. 100, then he must have paid Rs. 50 for 9 white sharpeners and Rs. 50 for 9 brown sharpeners. So the answer is 9 white sharpeners and 9 brown sharpeners. The answer is b.",
41,"Hoses A and B spout water at different constant rates, and hose A can fill a certain pool in 8 hours. Hose A filled the pool alone for the first 2 hours and the two hoses, working together, then finished filling the pool in another 3 hours. How many hours would it have taken hose B, working alone, to fill the entire pool?A)8, B)15, C)12, D)6, E)3",A," If it took hose A 8 hours to fill the pool, and hose B can fill the pool at the same rate, then it would also take hose B 8 hours to fill the pool. The answer is A.",
42,"If 120 is reduced to 96, what is the reduction percent?A)30%, B)40%, C)20%, D)10%, E)5%",C," The reduction is 120-96=24.
The reduction percent is 24/120=0.2.
The answer is c.",
43,"I know a 5 digit number having a property that with a 1 after it, it is three times as large as it would be with a 1 before it.
What is that number?A)42857, B)32456, C)76523, D)24567, E)43566",A, The number is 42857.,
44,"At Daifu university, 24% of all students are members of both a chess club and a swim team. If 20% of members of the swim team are not members of the chess club, what percentage of all Daifu students are members of the swim team?A)20%, B)30%, C)40%, D)50%, E)60%",B, The answer is D.,
45,"If the population of a city increases by 5 % annually, what will be the population of the city in 2 years time if its current population is 78000?A)81900, B)85995, C)85800, D)90000, E)None of these",B, The population of the city in 2 years time would be 85800. The answer is c.,
46,"Two cars start at the same time from opposite ends of a highway that is 50 miles long. One car is riding at 12 mph and the second car is riding at 13 mph. How long after they begin will they meet?A) 1, B) 1.25, C) 1.50, D) 1.75, E) 2",E, The answer is D.,
47,"A shopkeeper employed a servant at a monthly salary of 1500. In addition to it, he agreed to pay him a commission of 15% on the monthly sale. How much sale in Rupees should the servant do if he wants his monthly income as 6000?A)30000, B)415000, C)31500, D)50000, E)None of these",A, The servant's monthly income would be 6000 if he makes a total sale of 41500. The answer is b.,
48,"A man borrows Rs.360 If he pays it back in 12 monthly installments of Rs.31.50, what is his interest rate?A)1.5%, B)4.5%, C)10%, D)5%, E)12%",D, The interest rate is 5%.,
49,"The price of a product is reduced by 30% . By what percentage should it be increased to make it 100%A)41.86%, B)42.86%, C)43.86%, D)44.86%, E)45.86%",B, The price of the product needs to be increased by 43.86% to make it 100%. The answer is c.,
50,"I have a money pouch containing Rs. 700. There are equal number of 25 paise coins, 50 paise coins and one rupee coins.
How many of each are there?A)453, B)651, C)400, D)487, E)286",C, There are 400 of each type of coin.,
51,"A man spends Rs. 3500 per month and saves 12 1/2% of his income. His monthly income is ?A)Rs. 4400, B)Rs. 4270, C)Rs. 4000, D)Rs. 3937.50, E)None of these",C, The answer is D.,
52,"Five dozen toys are packed in a box and 98 boxes are kept in a tempo. How many tempos can lift 29400 toys in one round ?A)4, B)5, C)7, D)6, E)8",B, D)6,
53,"There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket?A)45, B)90, C)120, D)150, E)180",A, The answer is C.,
54,"A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?A)7, B)8, C)10, D)11, E)12",D, The answer is D. It will take Mr.Blue 11 days to complete the contract.,
55,"Train A leaves a station every 16 minutes and Train B leaves every 17 minutes. If both trains just left the station simultaneously, how long until they do so again?A)272 minutes, B)304 minutes, C)190 minutes, D)70 minutes, E)35 minutes",A," The least common multiple of 16 and 17 is 272, so the two trains will next leave the station together in 272 minutes. The answer is A.",
56,"A hollow cube of size 5cm is taken, with the thickness of 1cm. It is made of smaller cubes of size 1cm .If the outer surface of the cube is painted how many faces of the smaller cubes remain unpainted?A)438, B)550, C)500, D)450, E)498",A," There are a total of 6 faces on the cube that are not painted. There are 24 small cubes, so 24 * 6 = 144 faces are not painted. The answer is b.",
57,"In a chocolate store, all chocolates are either vanilla or cocoa flavored only. 10% of the chocolates are cocoa flavored, 90% of the rest are squashed. What percentage of the chocolates are both vanilla flavored and not squashed?A)1%, B)2%, C)5%, D)9%, E)10%",D, The answer is D.,
58,"There is well of depth 30m and frog is at bottom of the well. He jumps 3m up one day and falls back 2m down the same day. How many days will it take for the frog to come out of the well?A)25 days, B)26 days, C)27 days, D)28 days, E)29 days",D, The frog will take 27 days to come out of the well.,
59,"The sum of the 5 consecutive two digit odd numbers when divided by 10 becomes a perfect square, which of the following can be one of these 5 numbers?A)47, B)91, C)41, D)67, E)44",C," The sum of the 5 consecutive two digit odd numbers when divided by 10 becomes a perfect square, which of the following can be one of these 5 numbers?

A)47, B)91, C)41, D)67, E)44

The answer is c.",
60,"In a class, 8% of total students are interested in Football. 4/5 of total students are interested in Cricket. 10% of total students are interested in Basketball and remaining 20 students are not interested in any games. How many students are there in the class?A)850, B)800, C)900, D)950, E)1000",E, There are 850 students in the class.,
61,"Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years. What is definitely the difference between R and Q's age?A)22, B)27, C)29, D)Cannot be determined, E)None of the above",D, The answer is D.,
62,"Calculate the maximum distance you can travel with $8.50 on a cab which charges $3.50 for the first quarter-mile and 10 cents for each additional quarter mile.A)11.75 miles, B)12.75 miles, C)17.75 miles, D)14.75 miles, E)10.75 miles",B, The maximum distance you can travel with $8.50 on a cab is 10.75 miles.,
63,"In IPL season, Sachin current batting average is 51. In the finals, he scores 78 runs, then is batting average will be 54. Find out the total number of matches played by Sachin in this season.A)6, B)8, C)9, D)10, E)11",C, The answer is c.,
64,"Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter.)A)3, B)4, C)5, D)10, E)20",D," The smallest number of letters Amy will need to create the codes for all 10 types of books is 3. She can code each book with a single letter, which would give her 10 codes in total. The answer is A.",
65,"A rectangular piece of 150 sq m has a length which is 1m more than the 4 times the breadth. What is the perimeter of the piece?A)60 m, B)61 m, C)62 m, D)63 m, E)64 m",C, The perimeter of the piece is 63 m.,
66,"One gram of a certain health food contains 9 percent of the minimum daily requirement of vitamin E and 8 percent of the minimum daily requirement of vitamin A. If vitamins E and A are to be obtained from no other source, how many grams of the health food must be eaten daily to provide at least the minimum daily requirement of both vitamins?A)8.5, B)10.5, C)12.5, D)14.5, E)16.5",C," The minimum daily requirement of vitamin E is 30 mg, and the minimum daily requirement of vitamin A is 5,000 IU.
One gram of the health food contains 0.9 mg of vitamin E and 8 percent of 5,000 IU, or 400 IU, of vitamin A.
Therefore, the number of grams of the health food needed per day is
30 mg ÷ 0.9 mg/g + 5,000 IU ÷ 400 IU/g = 33.3 + 12.5 = 45.8 grams/day.
The answer is D.",
67,"Assistants are needed to prepare for preparation. Each helper can make either 2 large cakes or 35 small cakes/hr. The kitchen is available for 3 hours and 20 large cakes & 700 small cakes are needed. How many helpers are required?A)8, B)10, C)12, D)15, E)19",B," If each helper can make either 2 large cakes or 35 small cakes per hour, then 8 helpers would be required to make the 20 large cakes and 700 small cakes in 3 hours. The answer is 8.",
68,"R, S, T, and U are points on a line, and U is the midpoint of line segment ST. If the lengths of line segments RS, RT, and ST are 5, 17, and 22, respectively. What is the length of line segment RU?A)6, B)7, C)8, D)9, E)10",A, The length of line segment RU is 8.,
69,"Six pita breads contain the same amount of falafel as do two rolls. Three rolls contain the same amount of falafel as five baguettes do. Two baguettes contain the same amount of falafel as how many pita breads?A)12/25, B)3/2, C)3, D)2, E)25/3",C," The answer is D. Two baguettes contain the same amount of falafel as two rolls, which is the same as six pita breads.",
70,"A shopkeeper in order to promote his new shop put a discount of 20% on all the items for one day. Now he must sell the items at original price the other day. By what percentage must he increase the price to original?A)21%, B)20%, C)25%, D)33%, E)18%",C, The answer is B.,
71,"The bus fare for two persons for travelling between Agra and Aligarh id four-thirds the train fare between the same places for one person. The total fare paid by 6 persons travelling by bus and 8 persons travelling by train between the two places is Rs.1512. Find the train fare between the two places for one person?A)126, B)77, C)88, D)66, E)54",A, The answer is D.,
72,"A rectangle has a length of 8 centimeters and a width of 3 centimeters. Find the perimeter.A)18cm, B)22cm, C)20cm, D)30cm, E)28cm",B," The perimeter of a rectangle is the sum of the lengths of the sides. So the perimeter of this rectangle is
2(8) + 2(3) = 18 + 6 = 24. The answer is c.",
73,"Suppose you want to arrange your English, Hindi, Mathematics, History, Geography and Science books on a shelf. In how many ways can you do it ?A)520, B)720, C)920, D)None, E)Cannot be determined",B, The answer is B.,
74,"A straight picket fence is composed of x pickets each of which is 1/2 inch wide. If there are 6 inches of space between each pair of pickets, which of the following represents the length of fence in feet?A)13x/2, B)13x/2 - 6, C)13x/24, D)(13x+1)/24, E)(13x-12)/24",E, The length of the fence in feet would be (13x+1)/24.,
75,"A ship went on a voyage. After it had traveled 180 miles a plane started with 10 times the speed of the ship. Find the distance when they meet from starting point.A)238, B)289, C)200, D)287, E)187",C, The plane will catch up to the ship after the ship has traveled 200 miles. The answer is c.,
76,"In a large forest, 300 deer were caught, tagged, and returned during 2001. During 2002, 500 deer were caught at random, of which only 20 had tags from the previous year. If the percent of deer in the forest that had tags during the second year and were caught in the 500 deer sample is representative of the percent of the total deer population in the forest with tags, what is the total deer population in the forest (assuming no change in population between 2001 and 2002)?A)300, B)500, C)5000, D)6000, E)7500",E, The answer is C.,
77,"In a railway station, there are two trains going. One in the harbor line and one in the main line, each having a frequency of 10 minutes. The main line service starts at 5 o'clock and the harbor line starts at 5.02 A.M. A man goes to the station every day to catch the first train that comes. What is the probability of the man catching the first train?A)0.9, B)0.8, C)0.6, D)0.65, E)1.5",B, The probability of the man catching the first train is 0.9.,
78,"The average (arithmetic mean) of the weight of 10 vehicles is 12.2 tons. The average weight of the group of vehicles increased by 2.6 tons after a new heavy duty truck was added to the group? What is the weight in tons of the heavy duty truck?A)40.8, B)41.6, C)42.2, D)43.5, E)44.8",A," The average weight of the group of vehicles increased by 2.6 tons after a new heavy duty truck was added to the group. This means that the new heavy duty truck must weigh 2.6 tons more than the average weight of the other vehicles in the group. The average weight of the other vehicles in the group is 12.2 tons, so the new heavy duty truck must weigh 14.8 tons. The answer is E.",
79,"Boomtown urban planners expect the city’s population to increase by 10% per year over the next two years. If that projection were to come true, the population two years from now would be exactly double the population of one year ago. Which of the following is closest to the percent population increase in Boomtown over the last year?A)20%, B)40%, C)50%, D)65%, E)75%",D, The correct answer is D.,
80,"Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?A)62, 35, B)62, 34, C)34, 62, D)42, 62, E)62, 42",B," If Arun gives $30 to Sajal, then Sajal will have $60. Arjun will have $90. So, the ratio of their money is 3:2.

If Sajal gives $10 to Arjun, then Arjun will have $120. Sajal will have $40. So, the ratio of their money is 3:1.

Therefore, the answer is D) 42, 62.",
81,"Julie’s yard is rectangular. One side of the yard is 100 feet wide. The total area of the yard is 3,000 square feet. What is the length of the other side of the yard?A)30 feet, B)20 feet, C)10 feet, D)50 feet, E)60 feet",A, The length of the other side of the yard is 30 feet.,
82,"The greatest common factor of two positive integers is 11. The least common multiple of these two integers is 7700. If one of the integers is 350, what is the other?A)242, B)308, C)352, D)412, E)456",A," The greatest common factor of two positive integers is 11. The least common multiple of these two integers is 7700. If one of the integers is 350, then the other integer is 242. The answer is A.",
